
	Lev	Material	Component	Object description	Quantity	BUn	Document	MS	Group	GrC	Task list description	ValCl
	 2	3179223-N	3500749	COIL STOCK 18GA CRS 48IN	  1.171	LB						RAW
	 1	3181973-N	2722824	GENERIC 20GA CRS	  2.537	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3181973-N	3500751	COIL STOCK 20GA CRS 48IN	  2.537	LB						RAW
	 1	3219215	3106450-RAW	BAR INNER 60-72IN RAW	  1.000	EA	-3106450,					RAW
	 1	3219215	NA38900-004	PWDR COAT MET	  1.180	FT2						RAW
	 1	3222802-N	2914328	TUBE 11GA SQ 2.5 X 2.5 X 240	  0.142	EA						RAW
	 1	3245694-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.125	EA	-2601391,					RAW
	 1	3245696-N	2766219	GENERIC 8GA CRS	  3.961	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3245696-N	2170244	SH STK 8GA 48 X 48 HRPO	  3.961	LB						RAW
	 1	3247428-N	3092105	TUBE 14GA RECT 1.5 X 1 X 240	  0.200	EA						RAW
	 1	3248061-N	2933255	TUBE 14GA RECT 2 X 1 X 240	  0.365	EA	2841254,A					RAW
	 1	3277026-437	1675797	PWDR 437 CEMENT	  0.150	LB						RAW
	 1	3277026-437	3593832	MET LEG PFP	  1.000	EA	3588945,A					RAW
	 1	3277026-544	2534189	PWDR 544 SILVER PEARL METALLIC	  0.150	LB						RAW
	 1	3277026-544	3593832	MET LEG PFP	  1.000	EA	3588945,A					RAW
	 1	3277281-N	3177966	TUBE 14GA RD 0.75 OD X 240	  0.034	EA						RAW
	 1	3277291-N	3367790	TUBE 14GA RD 0.50 OD X 240	  0.112	EA						RAW
	 1	3294282-N	1680843	TUBE 16GA SQ 1.25 X 1.25 X 240	  0.044	EA						RAW
	 1	3299523	3083745	FRAME AL EXTRN RAW	  0.167	EA	-3083745,					RAW
	 1	3299527	3083745	FRAME AL EXTRN RAW	  0.333	EA	-3083745,					RAW
	 1	3299530	3083745	FRAME AL EXTRN RAW	  0.500	EA	-3083745,					RAW
	 1	3299532	3083745	FRAME AL EXTRN RAW	  0.600	EA	-3083745,					RAW
	 1	3299533	3083745	FRAME AL EXTRN RAW	  0.670	EA	-3083745,					RAW
	 1	3305346-N	1680843	TUBE 16GA SQ 1.25 X 1.25 X 240	  0.083	EA						RAW
	 1	3310469-N	2722822	GENERIC 16GA CRS	 11.962	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3310469-N	3500747	COIL STOCK 16GA CRS 48IN	 11.962	LB						RAW
	 1	3325592-N	1680843	TUBE 16GA SQ 1.25 X 1.25 X 240	  0.500	EA						RAW
	 1	3339574-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
	 1	3339576-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.090	EA						RAW
	 1	3339579-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
	 1	3339583-N	3092106	TUBE 14GA SQ 1 X 1 X 240	  0.027	EA						RAW
