
	Lev	Material	Component	Object description	Quantity	BUn	Document	MS	Group	GrC	Task list description	ValCl
	 0	3339574-N		RL TUBE, VERT LEG RAW NTCH	  0.000		3339574,A		30193	11	BLM Laser (tube 10/1)
	 0	3339576-N		RL TUBE, MID HORZ RAW NTCH	  0.000		3339576,A		30193	11	BLM Laser (tube 10/1)
	 0	3339579-N		RL TUBE, MID HORZ RAW NTCH	  0.000		3339579,A		30193	11	BLM Laser (tube 10/1)
	 0	3339583-N		RL TUBE, VERT LEG RAW NTCH	  0.000		3339583,A		30193	11	BLM Laser (tube 10/1)
	 0	3339584-N		RL TUBE, MID HORZ RAW NTCH	  0.000		3339584,A		30193	11	BLM Laser (tube 10/1)
	 0	3339585-N		RL TUBE, VERT LEG RAW NTCH	  0.000		3339585,A		30193	11	BLM Laser (tube 10/1)
	 0	3339586-N		RL TUBE, MID HORZ RAW NTCH	  0.000		3339586,A		30193	11	BLM Laser (tube 10/1)
	 0	3344280-450		LEG OTTO PNT 450	  0.000		3344280,B		30605	9	Kits(3:1)/Pack(2 min)
	 0	3363861-N		VERT STL TUBE REAR 19.1	  0.000		3363861,A		30193	12	BLM Laser (tube 10/1.5)
	 0	3367787-450		GLD PNT 450	  0.000		3367787,C		30605	10	Kits(25:1)/Pack(.5 min)
	 0	3367787-458		GLD PNT 458	  0.000		3367787,C		30605	10	Kits(25:1)/Pack(.5 min)
	 0	3370486-450		LEG RECL RH GLD PNT 450	  0.000		3370486,C		30605	8	Kits(4:1)/Pack(2 min)
	 0	3370486-458		LEG RECL RH GLD PNT 458	  0.000		3370486,C		30605	8	Kits(4:1)/Pack(2 min)
	 0	3370487-450		LEG RECL LH GLD PNT 450	  0.000		3370487,C		30605	8	Kits(4:1)/Pack(2 min)
	 0	3370487-458		LEG RECL LH GLD PNT 458	  0.000		3370487,C		30605	8	Kits(4:1)/Pack(2 min)
	 0	3381545-N		MBL PED BACK-NOTCH	  0.000		3381545,C		30193	8	Laser (0/.688)
	 0	3388185-N		CRESC BASE PL NTCH	  0.000		3388185,C		30193	15	Laser (0/2.00)
	 0	33PTCLP		NARRATE,TOP CAP,CONNECTOR,L,PAINT	      0		2846292,E		28574	2	KITS,28:1/.50
	 0	33PTCTP		NARRATE,TOP CAP,CONNECTOR,T,PAINT	      0		2846292,E		28574	2	KITS,28:1/.50
	 0	33PTCXP		NARRATE,TOP CAP,CONNECTOR,X,PAINT	      0		2846292,E		28574	2	KITS,28:1/.50
	 0	3405658-N		C-LEG TUBE BEND NOTCH	  0.000		3405658,B		30193	13	BLM Laser (tube 10/2)
	 0	3414877-N		INNER BLINDER 3.5H NOTCH	  0.000		3414877,B		30191	1	AMADA Vipros Notching
	 0	3419918-N		SQUARE TUBE NOTCH	  0.000		-3419918,		30193	11	BLM Laser (tube 10/1)
	 0	3419920-N		BRKT 8GA NOTCH	  0.000		-3419920,		30193	15	Laser (0/2.00)
	 0	3419927-N		SQ TUBE U LEG NOTCH	  0.000		3419927,A		30193	13	BLM Laser (tube 10/2)
	 0	3419931-N		L-BRKT 8GA NOTCH	  0.000		-3419931,		30193	14	Laser (0/1.25)
	 0	3419932-N		BRKT 8GA NOTCH	  0.000		-3419932,		30193	14	Laser (0/1.25)
	 0	3420131-N		SQUARE TUBE NOTCH	  0.000		-3420131,		30193	11	BLM Laser (tube 10/1)
	 0	3420135-N		SQ TUBE U LEG NOTCH	  0.000		-3420135,		30193	13	BLM Laser (tube 10/2)
	 0	3486384-N		SURF SPRT L NOTCH	  0.000		3486384,A		30193	52	Laser/cleanup (0/1.2)
	 0	3486385-N		SURF SPRT OUTER NOTCH	  0.000		3486385,A		30193	52	Laser/cleanup (0/1.2)
	 0	3487515		PNO HNG CUT TO 332MM	  0.000		-3487515,		30215	9	Metal Saw
	 0	3487519-N		MBL PED SHLF-NOTCH	  0.000		3487519,C		30193	8	Laser (0/.688)
	 0	3487534-N		MBL PED FRT-NOTCH	  0.000		3487534,D		30193	8	Laser (0/.688)
	 0	3498752-N		BOLT PL STL NOTCH	  0.000		-3498752,		30193	25	Laser (0/.40)
	 0	3545891-N		CRESC BASE PL NTCH	  0.000		3545891,C		30193	15	Laser (0/2.00)
	 0	3545895-N		14 GA TUBE NTCH	  0.000		3545895,A		30193	11	BLM Laser (tube 10/1)
	 0	3553277-N		FR VERT MDL WRB BC NOTCH	  0.000		-3553277,		39205	3	Salvagnini  S4 (0/.333) (stack off small
	 0	3591040-N		TUBE HORZ NOTCH	  0.000		3588003,A		30193	12	BLM Laser (tube 10/1.5)
	 0	3608836-N		TUBE HORZ NOTCH	  0.000		-3608836,		30193	10	BLM Laser/Powder(4:1)
	 0	3616053-N		DOOR STP NOTCH	  0.000		-3616053,		30192	2	AMADA Vipros Notching
	 0	3627637-544		WALL MET LEG-544	  0.000		3627637,A		30212	24	Powder Line (5:1)/Pack(2)
	 0	3627663-N		MTG PL 462 NTCH	  0.000		-3627663,		30193	8	Laser (0/.688)
	 0	3660539-N		MTG PL 462 NTCH	  0.000		-3660539,		30193	8	Laser (0/.688)
	 0	3727833		DiVDR BRKT 54 TWR LH STOR FORM	  0.000		-3727832,		30219	11	JMT (12.5/.65)
	 0	44425402		STIF DOOR HNG STOR CAB 5 FND NOTCH	  0.000		44425504,G		39205	3	Salvagnini  S4 (0/.333) (stack off small
	 0	IBF1		FOOTPRINT,SURFACE,FLAT BRACKET	      0		1762318,C		30211	30	KITS,  .145
	 0	NBAFSIM36-N		MTG RL INTMD SECTL NTCH	  0.000		601-169,C		30609	6	Omga1(4.51/.35)/spanner hole punch(.20)
	 0	NBAPT30E		PNL FR RL END	  0.000		-2055302,		30215	19	Kahltonback saw (.25)
	 0	NBAPT36E		PNL FR RL END	  0.000		-2055302,		30215	19	Kahltonback saw (.25)
	 0	NBAPT42E		PNL FR RL END	  0.000		-2055302,		30215	19	Kahltonback saw (.25)
	 0	NDAPGB-T		FRAME BRKT GLAZED TOP	  0.000		-2098289,		30222	1	PEM Insertion Machine (5/.789)
	 0	NEAC6937-BK		69 HGG MBR PAL	  0.000		2214212,E		38393	2	Powder Line 2 (.08 x 5)
	 0	NEAC6968-BK		69 HGG MBR PAL	  0.000		1639022,A		38393	2	Powder Line 2 (.08 x 5)
	 0	NEAPASR80S		SPLN RTNR ACSTL SIDE PNT	  0.000		601-117,B		30212	2	Powder Line (10:1)
